id,cap-shape,cap-surface,odor,gill-attachment,gill-spacing,stalk-surface-below-ring,veil-type,ring-number,ring-type,population
1,x,s,p,f,c,s,p,o,p,s
2,x,s,a,f,c,s,p,o,p,n
3,b,s,l,f,c,s,p,o,p,n
4,x,y,p,f,c,s,p,o,p,s
5,x,s,n,f,w,s,p,o,e,a
6,x,y,a,f,c,s,p,o,p,n
7,b,s,a,f,c,s,p,o,p,n
8,b,y,l,f,c,s,p,o,p,s
9,x,y,p,f,c,s,p,o,p,v
10,b,s,a,f,c,s,p,o,p,s
11,x,y,l,f,c,s,p,o,p,n
12,x,y,a,f,c,s,p,o,p,s
13,b,s,a,f,c,s,p,o,p,s
14,x,y,p,f,c,s,p,o,p,v
15,x,f,n,f,w,f,p,o,e,a
16,s,f,n,f,c,s,p,o,p,y
17,f,f,n,f,w,s,p,o,e,a
18,x,s,p,f,c,s,p,o,p,s
19,x,y,p,f,c,s,p,o,p,s
20,x,s,p,f,c,s,p,o,p,s
21,b,s,a,f,c,s,p,o,p,s
22,x,y,p,f,c,s,p,o,p,v
23,b,y,l,f,c,s,p,o,p,s
24,b,y,a,f,c,s,p,o,p,n
25,b,s,l,f,c,s,p,o,p,s
26,f,s,p,f,c,s,p,o,p,v
27,x,y,a,f,c,s,p,o,p,n
28,x,y,l,f,c,s,p,o,p,n
29,f,f,n,f,c,s,p,o,p,y
30,x,s,a,f,w,s,p,o,p,v
31,b,s,l,f,c,s,p,o,p,n
32,x,y,p,f,c,s,p,o,p,s
33,x,y,l,f,c,s,p,o,p,n
34,x,y,l,f,c,y,p,o,p,y
35,b,y,l,f,c,s,p,o,p,s
36,x,f,l,f,w,s,p,o,p,v
37,s,f,n,f,c,s,p,o,p,v
38,x,y,p,f,c,s,p,o,p,s
39,x,f,a,f,w,s,p,o,p,v
40,b,s,l,f,c,s,p,o,p,s
41,b,y,a,f,c,s,p,o,p,s
42,x,y,l,f,c,y,p,o,p,y
43,x,f,n,f,c,s,p,o,p,y
44,x,y,p,f,c,s,p,o,p,v
45,x,s,a,f,c,s,p,o,p,n
46,x,y,a,f,c,s,p,o,p,n
47,x,y,l,f,c,s,p,o,p,s
48,x,s,l,f,c,s,p,o,p,n
49,x,y,l,f,c,y,p,o,p,s
50,f,y,l,f,c,y,p,o,p,s
51,x,y,a,f,c,y,p,o,p,s
52,x,s,l,f,c,s,p,o,p,s
53,b,s,l,f,c,s,p,o,p,n
54,x,y,p,f,c,s,p,o,p,v
55,x,s,p,f,c,s,p,o,p,v
56,b,y,a,f,c,s,p,o,p,s
57,f,f,n,f,w,s,p,o,e,a
