id,gill-attachment,ring-type
1,f,p
2,f,p
3,f,p
4,f,p
5,f,e
6,f,p
7,f,p
8,f,p
9,f,p
10,f,p
11,f,p
12,f,p
13,f,p
14,f,p
15,f,e
16,f,p
17,f,e
18,f,p
19,f,p
20,f,p
21,f,p
22,f,p
23,f,p
24,f,p
25,f,p
26,f,p
27,f,p
28,f,p
29,f,p
30,f,p
31,f,p
32,f,p
33,f,p
34,f,p
35,f,p
36,f,p
37,f,p
38,f,p
39,f,p
40,f,p
41,f,p
42,f,p
43,f,p
44,f,p
45,f,p
46,f,p
47,f,p
48,f,p
49,f,p
50,f,p
51,f,p
52,f,p
53,f,p
54,f,p
55,f,p
56,f,p
57,f,e
58,f,p
59,f,p
60,f,p
61,f,p
62,f,p
63,f,p
64,f,p
65,f,p
66,f,e
67,f,p
68,f,p
69,f,p
70,f,p
71,f,p
72,f,p
73,f,p
74,f,p
75,f,p
76,f,p
77,f,p
78,f,p
79,f,p
80,f,p
81,f,e
82,f,p
83,f,p
84,f,e
85,f,p
86,f,e
87,f,p
88,f,p
89,f,p
90,f,p
91,f,p
92,f,p
93,f,p
94,f,p
95,f,e
96,f,p
97,f,p
98,f,p
99,f,p
100,f,p
101,f,e
102,f,p
103,f,p
104,f,p
105,f,p
106,f,p
107,f,p
108,f,p
109,f,p
110,f,p
111,f,p
112,f,p
113,f,p
114,f,p
115,f,p
116,f,p
117,f,p
118,f,p
119,f,p
120,f,p
121,f,p
122,f,p
123,f,p
124,f,e
125,f,p
126,f,e
127,f,p
128,f,e
129,f,p
130,f,p
131,f,p
132,f,p
133,f,p
134,f,p
135,f,p
136,f,p
137,f,p
138,f,p
139,f,p
140,f,p
141,f,p
142,f,p
143,f,p
144,f,p
145,f,p
146,f,e
147,f,e
148,f,p
149,f,p
150,f,p
151,f,p
152,f,e
153,f,p
154,f,p
155,f,p
156,f,p
157,f,p
158,f,p
159,f,p
160,f,p
161,f,p
162,f,p
163,f,p
164,f,p
165,f,p
166,f,p
167,f,p
