id,odor,veil-type,ring-type
1,p,p,p
2,a,p,p
3,l,p,p
4,p,p,p
5,n,p,e
6,a,p,p
7,a,p,p
8,l,p,p
9,p,p,p
10,a,p,p
11,l,p,p
12,a,p,p
13,a,p,p
14,p,p,p
15,n,p,e
16,n,p,p
17,n,p,e
18,p,p,p
19,p,p,p
20,p,p,p
21,a,p,p
22,p,p,p
23,l,p,p
24,a,p,p
25,l,p,p
26,p,p,p
27,a,p,p
28,l,p,p
29,n,p,p
30,a,p,p
31,l,p,p
32,p,p,p
33,l,p,p
34,l,p,p
35,l,p,p
36,l,p,p
37,n,p,p
38,p,p,p
39,a,p,p
40,l,p,p
41,a,p,p
42,l,p,p
43,n,p,p
44,p,p,p
45,a,p,p
46,a,p,p
47,l,p,p
48,l,p,p
49,l,p,p
50,l,p,p
51,a,p,p
52,l,p,p
53,l,p,p
54,p,p,p
55,p,p,p
56,a,p,p
57,n,p,e
58,a,p,p
59,l,p,p
60,a,p,p
61,n,p,p
62,a,p,p
63,l,p,p
64,l,p,p
65,l,p,p
66,n,p,e
67,l,p,p
68,a,p,p
69,a,p,p
70,n,p,p
71,l,p,p
72,l,p,p
73,l,p,p
74,a,p,p
75,a,p,p
76,l,p,p
77,l,p,p
78,l,p,p
79,p,p,p
80,a,p,p
81,n,p,e
82,p,p,p
83,n,p,p
84,n,p,e
85,l,p,p
86,n,p,e
87,a,p,p
88,l,p,p
89,l,p,p
90,n,p,p
91,n,p,p
92,l,p,p
93,a,p,p
94,l,p,p
95,n,p,e
96,a,p,p
97,l,p,p
98,a,p,p
99,a,p,p
100,a,p,p
101,n,p,e
102,l,p,p
103,l,p,p
104,a,p,p
105,l,p,p
106,a,p,p
107,a,p,p
108,l,p,p
109,a,p,p
110,a,p,p
111,l,p,p
112,n,p,p
113,a,p,p
114,a,p,p
115,p,p,p
116,l,p,p
117,n,p,p
118,l,p,p
119,l,p,p
120,n,p,p
121,p,p,p
122,a,p,p
123,p,p,p
124,n,p,e
125,l,p,p
126,n,p,e
127,a,p,p
128,n,p,e
129,l,p,p
130,l,p,p
131,l,p,p
132,l,p,p
133,l,p,p
134,l,p,p
135,a,p,p
136,p,p,p
137,l,p,p
138,a,p,p
139,p,p,p
140,l,p,p
141,a,p,p
142,l,p,p
143,n,p,p
144,a,p,p
145,a,p,p
146,n,p,e
147,n,p,e
148,l,p,p
149,l,p,p
150,a,p,p
151,a,p,p
152,n,p,e
153,l,p,p
154,n,p,p
155,a,p,p
156,l,p,p
157,a,p,p
158,a,p,p
159,a,p,p
160,a,p,p
161,l,p,p
162,a,p,p
163,n,p,p
164,l,p,p
165,a,p,p
166,l,p,p
167,a,p,p
168,a,p,p
169,l,p,p
170,a,p,p
171,n,p,p
172,l,p,p
173,l,p,p
174,a,p,p
175,l,p,p
176,l,p,p
177,a,p,p
178,a,p,p
179,l,p,p
180,l,p,p
181,p,p,p
182,n,p,p
183,n,p,p
184,a,p,p
185,a,p,p
186,p,p,p
187,l,p,p
188,n,p,p
189,l,p,p
190,a,p,p
191,n,p,e
192,l,p,p
193,l,p,p
194,a,p,p
195,a,p,p
196,n,p,p
197,a,p,p
198,l,p,p
199,l,p,p
200,a,p,p
201,l,p,p
202,l,p,p
203,a,p,p
204,n,p,e
205,l,p,p
206,p,p,p
207,a,p,p
208,a,p,p
209,l,p,p
210,a,p,p
211,a,p,p
212,l,p,p
213,a,p,p
214,n,p,p
215,a,p,p
216,l,p,p
217,a,p,p
218,a,p,p
219,l,p,p
220,n,p,p
221,a,p,p
222,p,p,p
223,a,p,p
224,a,p,p
225,l,p,p
226,l,p,p
227,a,p,p
228,a,p,p
229,p,p,p
230,a,p,p
231,n,p,p
232,p,p,p
233,l,p,p
234,n,p,p
235,l,p,p
236,l,p,p
237,l,p,p
238,l,p,p
239,l,p,p
240,a,p,p
241,a,p,p
242,l,p,p
243,a,p,p
244,p,p,p
245,a,p,p
246,l,p,p
247,l,p,p
248,a,p,p
249,l,p,p
250,n,p,e
251,a,p,p
252,p,p,p
253,n,p,p
254,l,p,p
255,l,p,p
256,l,p,p
257,n,p,p
258,a,p,p
259,l,p,p
260,a,p,p
261,l,p,p
262,p,p,p
263,a,p,p
264,a,p,p
265,l,p,p
266,n,p,p
267,n,p,e
268,a,p,p
269,a,p,p
270,p,p,p
271,l,p,p
272,p,p,p
273,l,p,p
274,a,p,p
275,a,p,p
276,a,p,p
277,a,p,p
278,a,p,p
279,n,p,e
280,l,p,p
281,p,p,p
282,a,p,p
283,n,p,p
284,l,p,p
285,l,p,p
286,a,p,p
287,a,p,p
288,a,p,p
289,l,p,p
290,n,p,p
291,n,p,p
292,l,p,p
293,l,p,p
294,l,p,p
295,a,p,p
296,a,p,p
297,a,p,p
298,n,p,e
299,a,p,p
300,p,p,p
301,n,p,e
302,a,p,p
303,l,p,p
304,a,p,p
305,l,p,p
306,n,p,p
307,l,p,p
308,l,p,p
309,a,p,p
310,n,p,e
311,l,p,p
312,p,p,p
313,l,p,p
314,a,p,p
315,a,p,p
316,p,p,p
317,a,p,p
318,a,p,p
319,l,p,p
320,l,p,p
321,l,p,p
322,a,p,p
323,a,p,p
324,a,p,p
325,l,p,p
