id,odor,gill-attachment,ring-number,ring-type
1,p,f,o,p
2,a,f,o,p
3,l,f,o,p
4,p,f,o,p
5,n,f,o,e
6,a,f,o,p
7,a,f,o,p
8,l,f,o,p
9,p,f,o,p
10,a,f,o,p
11,l,f,o,p
12,a,f,o,p
13,a,f,o,p
14,p,f,o,p
15,n,f,o,e
16,n,f,o,p
17,n,f,o,e
18,p,f,o,p
19,p,f,o,p
20,p,f,o,p
21,a,f,o,p
22,p,f,o,p
23,l,f,o,p
24,a,f,o,p
25,l,f,o,p
26,p,f,o,p
27,a,f,o,p
28,l,f,o,p
29,n,f,o,p
30,a,f,o,p
31,l,f,o,p
32,p,f,o,p
33,l,f,o,p
34,l,f,o,p
35,l,f,o,p
36,l,f,o,p
37,n,f,o,p
38,p,f,o,p
39,a,f,o,p
40,l,f,o,p
41,a,f,o,p
42,l,f,o,p
43,n,f,o,p
44,p,f,o,p
45,a,f,o,p
46,a,f,o,p
47,l,f,o,p
48,l,f,o,p
49,l,f,o,p
50,l,f,o,p
51,a,f,o,p
52,l,f,o,p
53,l,f,o,p
54,p,f,o,p
55,p,f,o,p
56,a,f,o,p
57,n,f,o,e
58,a,f,o,p
59,l,f,o,p
60,a,f,o,p
61,n,f,o,p
62,a,f,o,p
63,l,f,o,p
64,l,f,o,p
65,l,f,o,p
66,n,f,o,e
67,l,f,o,p
68,a,f,o,p
69,a,f,o,p
70,n,f,o,p
71,l,f,o,p
72,l,f,o,p
73,l,f,o,p
74,a,f,o,p
75,a,f,o,p
76,l,f,o,p
77,l,f,o,p
78,l,f,o,p
79,p,f,o,p
80,a,f,o,p
81,n,f,o,e
82,p,f,o,p
83,n,f,o,p
84,n,f,o,e
85,l,f,o,p
86,n,f,o,e
87,a,f,o,p
88,l,f,o,p
89,l,f,o,p
90,n,f,o,p
91,n,f,o,p
92,l,f,o,p
93,a,f,o,p
94,l,f,o,p
95,n,f,o,e
96,a,f,o,p
97,l,f,o,p
98,a,f,o,p
99,a,f,o,p
100,a,f,o,p
101,n,f,o,e
102,l,f,o,p
103,l,f,o,p
104,a,f,o,p
105,l,f,o,p
106,a,f,o,p
107,a,f,o,p
108,l,f,o,p
109,a,f,o,p
110,a,f,o,p
111,l,f,o,p
112,n,f,o,p
113,a,f,o,p
114,a,f,o,p
115,p,f,o,p
116,l,f,o,p
117,n,f,o,p
118,l,f,o,p
119,l,f,o,p
120,n,f,o,p
121,p,f,o,p
122,a,f,o,p
123,p,f,o,p
124,n,f,o,e
125,l,f,o,p
126,n,f,o,e
127,a,f,o,p
128,n,f,o,e
129,l,f,o,p
130,l,f,o,p
131,l,f,o,p
132,l,f,o,p
133,l,f,o,p
134,l,f,o,p
135,a,f,o,p
136,p,f,o,p
137,l,f,o,p
138,a,f,o,p
139,p,f,o,p
140,l,f,o,p
141,a,f,o,p
142,l,f,o,p
143,n,f,o,p
144,a,f,o,p
145,a,f,o,p
146,n,f,o,e
147,n,f,o,e
148,l,f,o,p
149,l,f,o,p
150,a,f,o,p
151,a,f,o,p
152,n,f,o,e
153,l,f,o,p
154,n,f,o,p
155,a,f,o,p
156,l,f,o,p
157,a,f,o,p
158,a,f,o,p
159,a,f,o,p
160,a,f,o,p
161,l,f,o,p
162,a,f,o,p
163,n,f,o,p
164,l,f,o,p
165,a,f,o,p
166,l,f,o,p
167,a,f,o,p
168,a,f,o,p
169,l,f,o,p
170,a,f,o,p
171,n,f,o,p
172,l,f,o,p
173,l,f,o,p
174,a,f,o,p
175,l,f,o,p
176,l,f,o,p
177,a,f,o,p
178,a,f,o,p
179,l,f,o,p
180,l,f,o,p
181,p,f,o,p
182,n,f,o,p
183,n,f,o,p
184,a,f,o,p
185,a,f,o,p
186,p,f,o,p
187,l,f,o,p
188,n,f,o,p
189,l,f,o,p
190,a,f,o,p
191,n,f,o,e
192,l,f,o,p
193,l,f,o,p
194,a,f,o,p
195,a,f,o,p
196,n,f,o,p
197,a,f,o,p
198,l,f,o,p
199,l,f,o,p
200,a,f,o,p
201,l,f,o,p
202,l,f,o,p
203,a,f,o,p
204,n,f,o,e
205,l,f,o,p
206,p,f,o,p
207,a,f,o,p
208,a,f,o,p
209,l,f,o,p
210,a,f,o,p
211,a,f,o,p
212,l,f,o,p
213,a,f,o,p
214,n,f,o,p
215,a,f,o,p
216,l,f,o,p
