id,odor,gill-attachment,gill-size,stalk-surface-above-ring,population
1,p,f,n,s,s
2,a,f,b,s,n
3,l,f,b,s,n
4,p,f,n,s,s
5,n,f,b,s,a
6,a,f,b,s,n
7,a,f,b,s,n
8,l,f,b,s,s
9,p,f,n,s,v
10,a,f,b,s,s
11,l,f,b,s,n
12,a,f,b,s,s
13,a,f,b,s,s
14,p,f,n,s,v
15,n,f,b,s,a
16,n,f,n,s,y
17,n,f,b,s,a
18,p,f,n,s,s
19,p,f,n,s,s
20,p,f,n,s,s
21,a,f,b,s,s
22,p,f,n,s,v
23,l,f,b,s,s
24,a,f,b,s,n
25,l,f,b,s,s
26,p,f,n,s,v
27,a,f,b,s,n
28,l,f,b,s,n
29,n,f,n,s,y
30,a,f,n,s,v
31,l,f,b,s,n
32,p,f,n,s,s
33,l,f,b,s,n
34,l,f,b,s,y
35,l,f,b,s,s
36,l,f,n,s,v
37,n,f,n,s,v
38,p,f,n,s,s
39,a,f,n,s,v
40,l,f,b,s,s
41,a,f,b,s,s
42,l,f,b,s,y
43,n,f,n,s,y
44,p,f,n,s,v
45,a,f,b,s,n
46,a,f,b,s,n
47,l,f,b,s,s
48,l,f,b,s,n
49,l,f,b,s,s
50,l,f,b,s,s
51,a,f,b,s,s
52,l,f,b,s,s
53,l,f,b,s,n
54,p,f,n,s,v
55,p,f,n,s,v
56,a,f,b,s,s
57,n,f,b,s,a
58,a,f,b,s,n
59,l,f,b,s,n
60,a,f,b,s,y
61,n,f,n,s,v
62,a,f,b,s,s
63,l,f,b,s,s
64,l,f,b,s,n
65,l,f,b,s,s
66,n,f,b,s,a
67,l,f,b,s,s
68,a,f,b,s,s
69,a,f,b,s,n
70,n,f,n,s,v
71,l,f,n,s,v
72,l,f,b,s,s
73,l,f,n,s,v
74,a,f,b,s,s
75,a,f,b,s,s
76,l,f,n,s,v
77,l,f,n,s,v
78,l,f,b,s,y
79,p,f,n,s,v
80,a,f,b,s,y
81,n,f,b,f,s
82,p,f,n,s,s
83,n,f,n,s,y
84,n,f,b,s,s
85,l,f,b,s,s
86,n,f,b,s,s
87,a,f,b,s,s
88,l,f,b,s,s
89,l,f,b,s,y
90,n,f,n,s,v
91,n,f,n,s,y
92,l,f,b,s,s
93,a,f,b,s,s
94,l,f,b,s,n
95,n,f,b,s,a
96,a,f,b,s,s
97,l,f,b,s,s
98,a,f,b,s,n
99,a,f,b,s,s
100,a,f,b,s,s
101,n,f,b,f,s
102,l,f,b,s,n
103,l,f,b,s,s
104,a,f,b,s,y
105,l,f,b,s,n
106,a,f,b,s,n
107,a,f,b,s,y
108,l,f,b,s,s
109,a,f,b,s,s
110,a,f,b,s,n
111,l,f,b,s,n
112,n,f,n,s,y
113,a,f,n,s,v
114,a,f,b,s,n
115,p,f,n,s,v
116,l,f,b,s,s
117,n,f,n,s,y
118,l,f,b,s,y
119,l,f,n,s,v
120,n,f,n,s,y
121,p,f,n,s,v
122,a,f,b,s,n
123,p,f,n,s,v
124,n,f,b,s,a
125,l,f,b,s,s
126,n,f,b,s,s
127,a,f,b,s,n
128,n,f,b,s,a
129,l,f,b,s,n
130,l,f,b,s,s
131,l,f,b,s,s
132,l,f,b,s,s
133,l,f,n,s,v
134,l,f,b,s,s
135,a,f,n,s,v
136,p,f,n,s,v
137,l,f,n,s,v
138,a,f,b,s,s
139,p,f,n,s,v
140,l,f,b,s,n
141,a,f,b,s,y
142,l,f,b,s,n
143,n,f,n,s,v
144,a,f,b,s,y
145,a,f,b,s,n
146,n,f,b,f,s
147,n,f,b,s,a
148,l,f,b,s,n
149,l,f,b,s,n
150,a,f,b,s,n
151,a,f,b,s,s
152,n,f,b,f,a
153,l,f,b,s,s
154,n,f,n,s,v
155,a,f,n,s,v
156,l,f,b,s,s
157,a,f,b,s,n
158,a,f,b,s,n
159,a,f,b,s,s
160,a,f,b,s,s
161,l,f,b,s,s
162,a,f,b,s,n
163,n,f,n,s,y
164,l,f,b,s,y
165,a,f,b,s,s
166,l,f,b,s,y
167,a,f,b,s,s
168,a,f,b,s,s
169,l,f,b,s,y
170,a,f,b,s,s
171,n,f,n,s,y
172,l,f,b,s,s
173,l,f,n,s,v
174,a,f,b,s,s
175,l,f,b,s,s
176,l,f,b,s,n
177,a,f,b,s,n
178,a,f,b,s,s
179,l,f,b,s,n
180,l,f,b,s,n
181,p,f,n,s,v
182,n,f,n,s,y
183,n,f,n,s,v
184,a,f,b,s,s
185,a,f,b,s,s
186,p,f,n,s,s
187,l,f,b,s,s
188,n,f,n,s,v
189,l,f,b,s,n
190,a,f,b,s,y
191,n,f,b,s,s
192,l,f,n,s,v
193,l,f,b,s,s
194,a,f,n,s,v
195,a,f,b,s,n
196,n,f,n,s,y
197,a,f,b,s,s
198,l,f,b,s,n
199,l,f,b,s,s
200,a,f,n,s,v
201,l,f,b,s,s
202,l,f,b,s,s
203,a,f,b,s,n
204,n,f,b,f,s
205,l,f,b,s,y
206,p,f,n,s,v
207,a,f,b,s,n
208,a,f,b,s,s
209,l,f,b,s,n
210,a,f,b,s,n
211,a,f,b,s,s
212,l,f,b,s,n
213,a,f,n,s,v
214,n,f,n,s,y
215,a,f,b,s,s
216,l,f,b,s,n
217,a,f,b,s,s
218,a,f,b,s,s
219,l,f,b,s,s
220,n,f,n,s,v
221,a,f,b,s,n
222,p,f,n,s,s
223,a,f,b,s,s
224,a,f,n,s,v
225,l,f,b,s,n
226,l,f,b,s,s
227,a,f,b,s,n
228,a,f,b,s,s
229,p,f,n,s,v
230,a,f,b,s,n
231,n,f,n,s,y
232,p,f,n,s,s
233,l,f,b,s,y
234,n,f,n,s,v
235,l,f,b,s,n
236,l,f,n,s,v
237,l,f,b,s,s
238,l,f,b,s,s
239,l,f,b,s,s
240,a,f,b,s,s
241,a,f,b,s,y
242,l,f,b,s,s
243,a,f,b,s,n
244,p,f,n,s,v
245,a,f,n,s,v
246,l,f,b,s,s
247,l,f,n,s,v
248,a,f,b,s,s
249,l,f,b,s,y
250,n,f,b,f,s
251,a,f,b,s,y
252,p,f,n,s,s
253,n,f,n,s,v
254,l,f,b,s,s
255,l,f,b,s,s
256,l,f,b,s,n
257,n,f,n,s,v
258,a,f,b,s,n
259,l,f,b,s,n
260,a,f,b,s,n
261,l,f,b,s,s
262,p,f,n,s,v
263,a,f,b,s,n
264,a,f,b,s,s
265,l,f,n,s,v
266,n,f,n,s,v
267,n,f,b,s,a
268,a,f,b,s,s
269,a,f,b,s,s
270,p,f,n,s,s
271,l,f,b,s,n
272,p,f,n,s,v
273,l,f,b,s,s
274,a,f,b,s,n
275,a,f,b,s,s
276,a,f,b,s,s
277,a,f,b,s,y
278,a,f,b,s,n
279,n,f,b,s,s
280,l,f,b,s,n
281,p,f,n,s,s
282,a,f,b,s,n
283,n,f,n,s,v
284,l,f,b,s,s
285,l,f,b,s,n
286,a,f,b,s,s
287,a,f,b,s,s
288,a,f,b,s,s
289,l,f,b,s,y
290,n,f,n,s,y
291,n,f,n,s,y
292,l,f,b,s,s
293,l,f,b,s,s
294,l,f,b,s,s
295,a,f,b,s,s
296,a,f,b,s,n
297,a,f,b,s,s
298,n,f,b,f,s
299,a,f,n,s,v
300,p,f,n,s,s
301,n,f,b,f,a
302,a,f,b,s,s
303,l,f,n,s,v
304,a,f,b,s,s
305,l,f,b,s,s
306,n,f,b,s,y
307,l,f,b,s,s
308,l,f,b,s,n
309,a,f,b,s,y
310,n,f,b,s,s
311,l,f,b,s,s
312,p,f,n,s,v
313,l,f,b,s,s
314,a,f,n,s,v
315,a,f,b,s,n
316,p,f,n,s,v
317,a,f,n,s,v
318,a,f,b,s,n
319,l,f,n,s,v
320,l,f,n,s,v
321,l,f,b,s,s
322,a,f,n,s,v
323,a,f,b,s,s
324,a,f,b,s,s
325,l,f,b,s,s
326,l,f,b,s,n
327,a,f,b,s,s
328,p,f,n,s,v
329,l,f,b,s,n
330,a,f,b,s,n
331,p,f,n,s,v
332,l,f,b,s,s
333,l,f,b,s,n
334,a,f,b,s,s
335,l,f,b,s,n
336,n,f,b,s,y
337,a,f,b,s,y
338,l,f,b,s,s
339,n,f,n,s,v
340,l,f,b,s,y
341,a,f,b,s,s
342,a,f,b,s,n
343,a,f,b,s,s
344,a,f,n,s,v
345,l,f,b,s,s
