id,gill-attachment,gill-color,stalk-surface-above-ring,veil-type,ring-type,classes
1,f,k,s,p,p,p
2,f,k,s,p,p,e
3,f,n,s,p,p,e
4,f,n,s,p,p,p
5,f,k,s,p,e,e
6,f,n,s,p,p,e
7,f,g,s,p,p,e
8,f,n,s,p,p,e
9,f,p,s,p,p,p
10,f,g,s,p,p,e
11,f,g,s,p,p,e
12,f,n,s,p,p,e
13,f,w,s,p,p,e
14,f,k,s,p,p,p
15,f,n,s,p,e,e
16,f,k,s,p,p,e
17,f,k,s,p,e,e
18,f,n,s,p,p,p
19,f,n,s,p,p,p
20,f,k,s,p,p,p
21,f,k,s,p,p,e
22,f,n,s,p,p,p
23,f,k,s,p,p,e
24,f,w,s,p,p,e
25,f,g,s,p,p,e
26,f,n,s,p,p,p
27,f,n,s,p,p,e
28,f,w,s,p,p,e
29,f,k,s,p,p,e
30,f,n,s,p,p,e
31,f,g,s,p,p,e
32,f,k,s,p,p,p
33,f,n,s,p,p,e
34,f,p,s,p,p,e
35,f,n,s,p,p,e
36,f,w,s,p,p,e
37,f,k,s,p,p,e
38,f,w,s,p,p,p
39,f,p,s,p,p,e
40,f,k,s,p,p,e
41,f,n,s,p,p,e
42,f,n,s,p,p,e
43,f,g,s,p,p,e
44,f,p,s,p,p,p
45,f,w,s,p,p,e
46,f,n,s,p,p,e
47,f,k,s,p,p,e
48,f,w,s,p,p,e
49,f,n,s,p,p,e
50,f,w,s,p,p,e
51,f,w,s,p,p,e
52,f,k,s,p,p,e
53,f,k,s,p,p,e
54,f,k,s,p,p,p
55,f,k,s,p,p,p
56,f,w,s,p,p,e
57,f,n,s,p,e,e
58,f,w,s,p,p,e
59,f,k,s,p,p,e
60,f,p,s,p,p,e
61,f,k,s,p,p,e
62,f,k,s,p,p,e
63,f,g,s,p,p,e
64,f,g,s,p,p,e
65,f,n,s,p,p,e
66,f,k,s,p,e,e
67,f,n,s,p,p,e
68,f,w,s,p,p,e
69,f,w,s,p,p,e
70,f,p,s,p,p,e
71,f,p,s,p,p,e
72,f,g,s,p,p,e
73,f,w,s,p,p,e
74,f,p,s,p,p,e
75,f,k,s,p,p,e
76,f,p,s,p,p,e
77,f,n,s,p,p,e
78,f,p,s,p,p,e
79,f,w,s,p,p,p
80,f,n,s,p,p,e
81,f,k,f,p,e,e
82,f,w,s,p,p,p
83,f,n,s,p,p,e
84,f,n,s,p,e,e
85,f,w,s,p,p,e
86,f,k,s,p,e,e
87,f,w,s,p,p,e
88,f,n,s,p,p,e
89,f,w,s,p,p,e
90,f,n,s,p,p,e
91,f,n,s,p,p,e
92,f,k,s,p,p,e
93,f,g,s,p,p,e
94,f,g,s,p,p,e
95,f,n,s,p,e,e
96,f,g,s,p,p,e
97,f,p,s,p,p,e
98,f,n,s,p,p,e
99,f,g,s,p,p,e
100,f,g,s,p,p,e
101,f,p,f,p,e,e
102,f,n,s,p,p,e
103,f,w,s,p,p,e
104,f,n,s,p,p,e
105,f,g,s,p,p,e
106,f,n,s,p,p,e
107,f,w,s,p,p,e
108,f,n,s,p,p,e
109,f,g,s,p,p,e
110,f,k,s,p,p,e
111,f,w,s,p,p,e
112,f,g,s,p,p,e
113,f,w,s,p,p,e
114,f,n,s,p,p,e
115,f,n,s,p,p,p
116,f,p,s,p,p,e
117,f,p,s,p,p,e
118,f,w,s,p,p,e
119,f,p,s,p,p,e
120,f,k,s,p,p,e
121,f,k,s,p,p,p
122,f,g,s,p,p,e
123,f,p,s,p,p,p
124,f,k,s,p,e,e
125,f,g,s,p,p,e
126,f,n,s,p,e,e
127,f,w,s,p,p,e
128,f,h,s,p,e,e
129,f,n,s,p,p,e
130,f,n,s,p,p,e
131,f,w,s,p,p,e
132,f,w,s,p,p,e
133,f,w,s,p,p,e
134,f,g,s,p,p,e
135,f,p,s,p,p,e
136,f,w,s,p,p,p
137,f,w,s,p,p,e
138,f,n,s,p,p,e
139,f,p,s,p,p,p
140,f,w,s,p,p,e
141,f,w,s,p,p,e
142,f,g,s,p,p,e
143,f,k,s,p,p,e
144,f,w,s,p,p,e
145,f,k,s,p,p,e
146,f,k,f,p,e,e
147,f,k,s,p,e,e
148,f,w,s,p,p,e
149,f,k,s,p,p,e
150,f,g,s,p,p,e
151,f,w,s,p,p,e
152,f,p,f,p,e,e
153,f,g,s,p,p,e
154,f,k,s,p,p,e
155,f,w,s,p,p,e
156,f,w,s,p,p,e
157,f,k,s,p,p,e
158,f,k,s,p,p,e
159,f,n,s,p,p,e
160,f,g,s,p,p,e
161,f,g,s,p,p,e
162,f,n,s,p,p,e
163,f,k,s,p,p,e
164,f,n,s,p,p,e
165,f,k,s,p,p,e
166,f,w,s,p,p,e
167,f,w,s,p,p,e
168,f,w,s,p,p,e
169,f,w,s,p,p,e
170,f,k,s,p,p,e
171,f,g,s,p,p,e
172,f,k,s,p,p,e
173,f,n,s,p,p,e
174,f,w,s,p,p,e
175,f,p,s,p,p,e
176,f,w,s,p,p,e
177,f,k,s,p,p,e
178,f,g,s,p,p,e
179,f,g,s,p,p,e
180,f,g,s,p,p,e
181,f,p,s,p,p,p
182,f,g,s,p,p,e
183,f,g,s,p,p,e
184,f,g,s,p,p,e
185,f,p,s,p,p,e
186,f,k,s,p,p,p
187,f,g,s,p,p,e
188,f,p,s,p,p,e
189,f,g,s,p,p,e
190,f,w,s,p,p,e
191,f,p,s,p,e,e
192,f,w,s,p,p,e
193,f,w,s,p,p,e
194,f,w,s,p,p,e
195,f,k,s,p,p,e
196,f,g,s,p,p,e
197,f,n,s,p,p,e
198,f,g,s,p,p,e
199,f,n,s,p,p,e
200,f,n,s,p,p,e
201,f,w,s,p,p,e
202,f,w,s,p,p,e
203,f,g,s,p,p,e
204,f,h,f,p,e,e
205,f,n,s,p,p,e
206,f,k,s,p,p,p
207,f,n,s,p,p,e
208,f,k,s,p,p,e
209,f,n,s,p,p,e
210,f,w,s,p,p,e
211,f,w,s,p,p,e
212,f,w,s,p,p,e
213,f,n,s,p,p,e
214,f,n,s,p,p,e
215,f,n,s,p,p,e
216,f,n,s,p,p,e
217,f,g,s,p,p,e
218,f,k,s,p,p,e
219,f,w,s,p,p,e
220,f,p,s,p,p,e
221,f,n,s,p,p,e
222,f,k,s,p,p,p
223,f,n,s,p,p,e
224,f,p,s,p,p,e
225,f,g,s,p,p,e
226,f,n,s,p,p,e
227,f,g,s,p,p,e
228,f,g,s,p,p,e
229,f,p,s,p,p,p
230,f,n,s,p,p,e
231,f,n,s,p,p,e
232,f,k,s,p,p,p
233,f,n,s,p,p,e
234,f,k,s,p,p,e
235,f,k,s,p,p,e
236,f,w,s,p,p,e
237,f,w,s,p,p,e
238,f,n,s,p,p,e
239,f,n,s,p,p,e
240,f,p,s,p,p,e
241,f,w,s,p,p,e
242,f,w,s,p,p,e
243,f,w,s,p,p,e
244,f,n,s,p,p,p
245,f,p,s,p,p,e
246,f,w,s,p,p,e
247,f,p,s,p,p,e
248,f,n,s,p,p,e
