id,cap-color,odor,gill-attachment,stalk-root,stalk-surface-above-ring,veil-color,ring-number
1,n,p,f,e,s,w,o
2,y,a,f,c,s,w,o
3,w,l,f,c,s,w,o
4,w,p,f,e,s,w,o
5,g,n,f,e,s,w,o
6,y,a,f,c,s,w,o
7,w,a,f,c,s,w,o
8,w,l,f,c,s,w,o
9,w,p,f,e,s,w,o
10,y,a,f,c,s,w,o
11,y,l,f,c,s,w,o
12,y,a,f,c,s,w,o
13,y,a,f,c,s,w,o
14,w,p,f,e,s,w,o
15,n,n,f,e,s,w,o
16,g,n,f,e,s,w,o
17,w,n,f,e,s,w,o
18,n,p,f,e,s,w,o
19,w,p,f,e,s,w,o
20,n,p,f,e,s,w,o
21,y,a,f,c,s,w,o
22,n,p,f,e,s,w,o
23,y,l,f,c,s,w,o
24,w,a,f,c,s,w,o
25,w,l,f,c,s,w,o
26,w,p,f,e,s,w,o
27,y,a,f,c,s,w,o
28,w,l,f,c,s,w,o
29,n,n,f,e,s,w,o
30,y,a,f,b,s,w,o
31,y,l,f,c,s,w,o
32,w,p,f,e,s,w,o
33,y,l,f,c,s,w,o
34,n,l,f,r,s,w,o
35,y,l,f,c,s,w,o
36,y,l,f,b,s,w,o
37,g,n,f,e,s,w,o
38,n,p,f,e,s,w,o
39,y,a,f,b,s,w,o
40,y,l,f,c,s,w,o
41,y,a,f,c,s,w,o
42,y,l,f,r,s,w,o
43,n,n,f,e,s,w,o
44,w,p,f,e,s,w,o
45,y,a,f,c,s,w,o
46,w,a,f,c,s,w,o
47,y,l,f,c,s,w,o
48,w,l,f,c,s,w,o
49,y,l,f,r,s,w,o
50,y,l,f,r,s,w,o
51,n,a,f,r,s,w,o
52,w,l,f,c,s,w,o
53,w,l,f,c,s,w,o
54,n,p,f,e,s,w,o
55,w,p,f,e,s,w,o
56,y,a,f,c,s,w,o
57,g,n,f,e,s,w,o
58,w,a,f,c,s,w,o
59,y,l,f,c,s,w,o
60,n,a,f,r,s,w,o
61,g,n,f,e,s,w,o
62,y,a,f,c,s,w,o
63,y,l,f,c,s,w,o
64,y,l,f,c,s,w,o
65,w,l,f,c,s,w,o
66,n,n,f,e,s,w,o
67,w,l,f,c,s,w,o
68,y,a,f,r,s,w,o
69,y,a,f,c,s,w,o
70,g,n,f,e,s,w,o
71,y,l,f,b,s,w,o
72,w,l,f,c,s,w,o
73,y,l,f,b,s,w,o
74,n,a,f,r,s,w,o
75,y,a,f,c,s,w,o
76,y,l,f,b,s,w,o
77,w,l,f,b,s,w,o
78,n,l,f,r,s,w,o
79,n,p,f,e,s,w,o
80,n,a,f,r,s,w,o
81,n,n,f,e,f,w,o
82,w,p,f,e,s,w,o
83,g,n,f,e,s,w,o
84,g,n,f,e,s,w,o
85,y,l,f,r,s,w,o
86,n,n,f,e,s,w,o
87,w,a,f,c,s,w,o
88,w,l,f,c,s,w,o
89,n,l,f,r,s,w,o
90,n,n,f,e,s,w,o
91,n,n,f,e,s,w,o
92,w,l,f,c,s,w,o
93,y,a,f,c,s,w,o
94,y,l,f,c,s,w,o
95,n,n,f,e,s,w,o
96,w,a,f,c,s,w,o
97,n,l,f,r,s,w,o
98,y,a,f,c,s,w,o
99,w,a,f,c,s,w,o
100,w,a,f,c,s,w,o
101,n,n,f,e,f,w,o
102,y,l,f,c,s,w,o
103,y,l,f,r,s,w,o
104,y,a,f,r,s,w,o
105,w,l,f,c,s,w,o
106,y,a,f,c,s,w,o
107,y,a,f,r,s,w,o
108,w,l,f,c,s,w,o
109,w,a,f,c,s,w,o
110,y,a,f,c,s,w,o
111,y,l,f,c,s,w,o
112,g,n,f,e,s,w,o
113,w,a,f,b,s,w,o
114,y,a,f,c,s,w,o
115,w,p,f,e,s,w,o
116,y,l,f,r,s,w,o
117,g,n,f,e,s,w,o
118,y,l,f,r,s,w,o
119,y,l,f,b,s,w,o
120,n,n,f,e,s,w,o
121,w,p,f,e,s,w,o
122,w,a,f,c,s,w,o
123,n,p,f,e,s,w,o
124,g,n,f,e,s,w,o
125,y,l,f,c,s,w,o
126,w,n,f,e,s,w,o
127,y,a,f,c,s,w,o
128,g,n,f,e,s,w,o
129,w,l,f,c,s,w,o
130,w,l,f,c,s,w,o
131,w,l,f,c,s,w,o
132,w,l,f,c,s,w,o
133,w,l,f,b,s,w,o
134,y,l,f,c,s,w,o
135,w,a,f,b,s,w,o
136,w,p,f,e,s,w,o
137,w,l,f,b,s,w,o
138,y,a,f,c,s,w,o
