id,cap-surface,odor,gill-attachment,gill-spacing,gill-size,stalk-root,stalk-color-below-ring,ring-number,ring-type
1,s,p,f,c,n,e,w,o,p
2,s,a,f,c,b,c,w,o,p
3,s,l,f,c,b,c,w,o,p
4,y,p,f,c,n,e,w,o,p
5,s,n,f,w,b,e,w,o,e
6,y,a,f,c,b,c,w,o,p
7,s,a,f,c,b,c,w,o,p
8,y,l,f,c,b,c,w,o,p
9,y,p,f,c,n,e,w,o,p
10,s,a,f,c,b,c,w,o,p
11,y,l,f,c,b,c,w,o,p
12,y,a,f,c,b,c,w,o,p
13,s,a,f,c,b,c,w,o,p
14,y,p,f,c,n,e,w,o,p
15,f,n,f,w,b,e,w,o,e
16,f,n,f,c,n,e,w,o,p
17,f,n,f,w,b,e,w,o,e
18,s,p,f,c,n,e,w,o,p
19,y,p,f,c,n,e,w,o,p
20,s,p,f,c,n,e,w,o,p
21,s,a,f,c,b,c,w,o,p
22,y,p,f,c,n,e,w,o,p
23,y,l,f,c,b,c,w,o,p
24,y,a,f,c,b,c,w,o,p
25,s,l,f,c,b,c,w,o,p
26,s,p,f,c,n,e,w,o,p
27,y,a,f,c,b,c,w,o,p
28,y,l,f,c,b,c,w,o,p
29,f,n,f,c,n,e,w,o,p
30,s,a,f,w,n,b,w,o,p
31,s,l,f,c,b,c,w,o,p
32,y,p,f,c,n,e,w,o,p
33,y,l,f,c,b,c,w,o,p
34,y,l,f,c,b,r,w,o,p
35,y,l,f,c,b,c,w,o,p
36,f,l,f,w,n,b,w,o,p
37,f,n,f,c,n,e,w,o,p
38,y,p,f,c,n,e,w,o,p
39,f,a,f,w,n,b,w,o,p
40,s,l,f,c,b,c,w,o,p
41,y,a,f,c,b,c,w,o,p
42,y,l,f,c,b,r,w,o,p
43,f,n,f,c,n,e,w,o,p
44,y,p,f,c,n,e,w,o,p
45,s,a,f,c,b,c,w,o,p
46,y,a,f,c,b,c,w,o,p
47,y,l,f,c,b,c,w,o,p
48,s,l,f,c,b,c,w,o,p
49,y,l,f,c,b,r,w,o,p
50,y,l,f,c,b,r,w,o,p
51,y,a,f,c,b,r,w,o,p
52,s,l,f,c,b,c,w,o,p
53,s,l,f,c,b,c,w,o,p
54,y,p,f,c,n,e,w,o,p
55,s,p,f,c,n,e,w,o,p
56,y,a,f,c,b,c,w,o,p
57,f,n,f,w,b,e,w,o,e
58,s,a,f,c,b,c,w,o,p
59,s,l,f,c,b,c,w,o,p
60,y,a,f,c,b,r,w,o,p
61,f,n,f,c,n,e,w,o,p
62,y,a,f,c,b,c,w,o,p
63,s,l,f,c,b,c,w,o,p
64,y,l,f,c,b,c,w,o,p
65,y,l,f,c,b,c,w,o,p
66,s,n,f,w,b,e,w,o,e
67,s,l,f,c,b,c,w,o,p
68,y,a,f,c,b,r,w,o,p
69,y,a,f,c,b,c,w,o,p
70,f,n,f,c,n,e,w,o,p
71,f,l,f,w,n,b,w,o,p
72,y,l,f,c,b,c,w,o,p
73,f,l,f,w,n,b,w,o,p
74,y,a,f,c,b,r,w,o,p
75,s,a,f,c,b,c,w,o,p
76,s,l,f,w,n,b,w,o,p
77,s,l,f,w,n,b,w,o,p
78,y,l,f,c,b,r,w,o,p
79,y,p,f,c,n,e,w,o,p
80,y,a,f,c,b,r,w,o,p
81,s,n,f,w,b,e,w,o,e
82,y,p,f,c,n,e,w,o,p
83,f,n,f,c,n,e,w,o,p
84,f,n,f,w,b,e,w,o,e
85,y,l,f,c,b,r,w,o,p
86,s,n,f,w,b,e,w,o,e
87,s,a,f,c,b,c,w,o,p
88,s,l,f,c,b,c,w,o,p
89,y,l,f,c,b,r,w,o,p
90,f,n,f,c,n,e,w,o,p
91,f,n,f,c,n,e,w,o,p
92,s,l,f,c,b,c,w,o,p
93,y,a,f,c,b,c,w,o,p
94,y,l,f,c,b,c,w,o,p
95,s,n,f,w,b,e,w,o,e
96,s,a,f,c,b,c,w,o,p
97,y,l,f,c,b,r,w,o,p
98,s,a,f,c,b,c,w,o,p
99,s,a,f,c,b,c,w,o,p
100,y,a,f,c,b,c,w,o,p
101,f,n,f,w,b,e,w,o,e
102,s,l,f,c,b,c,w,o,p
103,y,l,f,c,b,r,w,o,p
104,y,a,f,c,b,r,w,o,p
105,y,l,f,c,b,c,w,o,p
106,y,a,f,c,b,c,w,o,p
107,y,a,f,c,b,r,w,o,p
108,y,l,f,c,b,c,w,o,p
109,y,a,f,c,b,c,w,o,p
110,s,a,f,c,b,c,w,o,p
111,s,l,f,c,b,c,w,o,p
112,f,n,f,c,n,e,w,o,p
113,f,a,f,w,n,b,w,o,p
114,s,a,f,c,b,c,w,o,p
115,y,p,f,c,n,e,w,o,p
116,y,l,f,c,b,r,w,o,p
117,f,n,f,c,n,e,w,o,p
118,y,l,f,c,b,r,w,o,p
119,s,l,f,w,n,b,w,o,p
120,f,n,f,c,n,e,w,o,p
